,DATE,PCU481111481111
0,1989-12-01,100.0
1,1990-01-01,101.0
2,1990-02-01,104.5
3,1990-03-01,106.9
4,1990-04-01,106.5
5,1990-05-01,107.0
6,1990-06-01,106.6
7,1990-07-01,109.7
8,1990-08-01,109.8
9,1990-09-01,112.5
10,1990-10-01,117.2
11,1990-11-01,122.5
12,1990-12-01,123.2
13,1991-01-01,123.2
14,1991-02-01,121.4
15,1991-03-01,121.2
16,1991-04-01,122.8
17,1991-05-01,122.6
18,1991-06-01,122.7
19,1991-07-01,122.4
20,1991-08-01,122.4
21,1991-09-01,122.3
22,1991-10-01,122.6
23,1991-11-01,122.4
24,1991-12-01,122.9
25,1992-01-01,126.3
26,1992-02-01,126.3
27,1992-03-01,127.1
28,1992-04-01,109.7
29,1992-05-01,106.1
30,1992-06-01,104.1
31,1992-07-01,108.3
32,1992-08-01,110.1
33,1992-09-01,112.7
34,1992-10-01,112.7
35,1992-11-01,115.3
36,1992-12-01,118.7
37,1993-01-01,123.9
38,1993-02-01,124.8
39,1993-03-01,124.8
40,1993-04-01,125.0
41,1993-05-01,124.8
42,1993-06-01,124.9
43,1993-07-01,126.2
44,1993-08-01,127.2
45,1993-09-01,127.8
46,1993-10-01,130.4
47,1993-11-01,131.3
48,1993-12-01,130.6
49,1994-01-01,132.1
50,1994-02-01,130.3
51,1994-03-01,130.8
52,1994-04-01,129.7
53,1994-05-01,129.8
54,1994-06-01,131.5
55,1994-07-01,131.3
56,1994-08-01,131.4
57,1994-09-01,130.7
58,1994-10-01,130.3
59,1994-11-01,130.2
60,1994-12-01,129.7
61,1995-01-01,130.0
62,1995-02-01,132.1
63,1995-03-01,132.7
64,1995-04-01,132.3
65,1995-05-01,137.2
66,1995-06-01,138.4
67,1995-07-01,140.0
68,1995-08-01,140.9
69,1995-09-01,142.7
70,1995-10-01,142.8
71,1995-11-01,144.0
72,1995-12-01,141.0
73,1996-01-01,142.9
74,1996-02-01,145.1
75,1996-03-01,146.1
76,1996-04-01,146.7
77,1996-05-01,147.6
78,1996-06-01,148.4
79,1996-07-01,150.1
80,1996-08-01,149.2
81,1996-09-01,149.3
82,1996-10-01,150.0
83,1996-11-01,151.5
84,1996-12-01,150.2
85,1997-01-01,159.8
86,1997-02-01,159.6
87,1997-03-01,152.5
88,1997-04-01,153.0
89,1997-05-01,153.4
90,1997-06-01,155.1
91,1997-07-01,155.6
92,1997-08-01,153.8
93,1997-09-01,149.3
94,1997-10-01,151.9
95,1997-11-01,151.7
96,1997-12-01,151.6
97,1998-01-01,150.6
98,1998-02-01,151.8
99,1998-03-01,151.3
100,1998-04-01,152.1
101,1998-05-01,152.1
102,1998-06-01,151.9
103,1998-07-01,151.8
104,1998-08-01,151.8
105,1998-09-01,153.4
106,1998-10-01,153.7
107,1998-11-01,154.7
108,1998-12-01,155.4
109,1999-01-01,155.7
110,1999-02-01,158.1
111,1999-03-01,158.9
112,1999-04-01,159.5
113,1999-05-01,160.0
114,1999-06-01,161.4
115,1999-07-01,161.6
116,1999-08-01,161.9
117,1999-09-01,162.1
118,1999-10-01,164.2
119,1999-11-01,164.6
120,1999-12-01,165.8
121,2000-01-01,178.2
122,2000-02-01,177.7
123,2000-03-01,180.4
124,2000-04-01,182.6
125,2000-05-01,184.5
126,2000-06-01,185.7
127,2000-07-01,186.1
128,2000-08-01,186.2
129,2000-09-01,192.6
130,2000-10-01,193.5
131,2000-11-01,193.9
132,2000-12-01,196.7
133,2001-01-01,196.8
134,2001-02-01,197.8
135,2001-03-01,198.5
136,2001-04-01,200.5
137,2001-05-01,199.6
138,2001-06-01,200.9
139,2001-07-01,202.8
140,2001-08-01,202.9
141,2001-09-01,202.7
142,2001-10-01,203.9
143,2001-11-01,200.1
144,2001-12-01,200.7
145,2002-01-01,200.3
146,2002-02-01,200.3
147,2002-03-01,199.6
148,2002-04-01,198.5
149,2002-05-01,198.2
150,2002-06-01,198.5
151,2002-07-01,200.1
152,2002-08-01,200.2
153,2002-09-01,201.2
154,2002-10-01,203.5
155,2002-11-01,202.3
156,2002-12-01,202.8
157,2003-01-01,204.7
158,2003-02-01,202.8
159,2003-03-01,205.1
160,2003-04-01,205.8
161,2003-05-01,205.6
162,2003-06-01,206.1
163,2003-07-01,206.7
164,2003-08-01,207.3
165,2003-09-01,205.3
166,2003-10-01,205.9
167,2003-11-01,206.2
168,2003-12-01,206.6
169,2004-01-01,206.9
170,2004-02-01,207.7
171,2004-03-01,206.2
172,2004-04-01,206.8
173,2004-05-01,206.6
174,2004-06-01,207.2
175,2004-07-01,207.7
176,2004-08-01,207.0
177,2004-09-01,201.2
178,2004-10-01,203.4
179,2004-11-01,205.4
180,2004-12-01,203.5
181,2005-01-01,209.1
182,2005-02-01,208.4
183,2005-03-01,215.9
184,2005-04-01,214.5
185,2005-05-01,213.2
186,2005-06-01,219.8
187,2005-07-01,223.3
188,2005-08-01,219.4
189,2005-09-01,214.9
190,2005-10-01,219.7
191,2005-11-01,227.7
192,2005-12-01,219.1
193,2006-01-01,225.9
194,2006-02-01,229.4
195,2006-03-01,232.1
196,2006-04-01,233.8
197,2006-05-01,228.3
198,2006-06-01,236.7
199,2006-07-01,238.5
200,2006-08-01,237.8
201,2006-09-01,223.6
202,2006-10-01,224.4
203,2006-11-01,227.7
204,2006-12-01,216.7
205,2007-01-01,225.2
206,2007-02-01,228.0
207,2007-03-01,232.7
208,2007-04-01,234.0
209,2007-05-01,224.8
210,2007-06-01,238.2
211,2007-07-01,241.4
212,2007-08-01,243.2
213,2007-09-01,228.9
214,2007-10-01,238.8
215,2007-11-01,242.4
216,2007-12-01,236.1
217,2008-01-01,243.7
218,2008-02-01,242.8
219,2008-03-01,252.9
220,2008-04-01,251.4
221,2008-05-01,256.8
222,2008-06-01,271.1
223,2008-07-01,270.3
224,2008-08-01,267.9
225,2008-09-01,261.7
226,2008-10-01,263.9
227,2008-11-01,255.8
228,2008-12-01,247.3
229,2009-01-01,249.0
230,2009-02-01,237.5
231,2009-03-01,234.7
232,2009-04-01,235.2
233,2009-05-01,222.1
234,2009-06-01,227.3
235,2009-07-01,232.6
236,2009-08-01,239.5
237,2009-09-01,231.0
238,2009-10-01,236.7
239,2009-11-01,243.0
240,2009-12-01,245.1
241,2010-01-01,250.9
242,2010-02-01,249.3
243,2010-03-01,255.5
244,2010-04-01,259.9
245,2010-05-01,255.0
246,2010-06-01,263.2
247,2010-07-01,264.7
248,2010-08-01,258.3
249,2010-09-01,243.4
250,2010-10-01,250.7
251,2010-11-01,253.0
252,2010-12-01,252.7
253,2011-01-01,260.6
254,2011-02-01,264.8
255,2011-03-01,277.4
256,2011-04-01,276.0
257,2011-05-01,274.4
258,2011-06-01,274.5
259,2011-07-01,275.2
260,2011-08-01,281.3
261,2011-09-01,269.6
262,2011-10-01,275.5
263,2011-11-01,275.2
264,2011-12-01,276.9
265,2012-01-01,280.6
266,2012-02-01,286.3
267,2012-03-01,292.2
268,2012-04-01,293.5
269,2012-05-01,289.2
270,2012-06-01,294.4
271,2012-07-01,289.0
272,2012-08-01,289.7
273,2012-09-01,273.0
274,2012-10-01,279.9
275,2012-11-01,277.7
276,2012-12-01,276.3
277,2013-01-01,282.0
278,2013-02-01,279.8
279,2013-03-01,287.8
280,2013-04-01,279.8
281,2013-05-01,276.6
282,2013-06-01,286.7
283,2013-07-01,289.3
284,2013-08-01,291.1
285,2013-09-01,274.7
286,2013-10-01,281.8
287,2013-11-01,275.3
288,2013-12-01,291.8
289,2014-01-01,284.5
290,2014-02-01,277.9
291,2014-03-01,290.2
292,2014-04-01,292.9
293,2014-05-01,290.4
294,2014-06-01,298.3
295,2014-07-01,297.3
296,2014-08-01,299.4
297,2014-09-01,282.4
298,2014-10-01,284.5
299,2014-11-01,283.5
300,2014-12-01,287.5
301,2015-01-01,286.1
302,2015-02-01,281.6
303,2015-03-01,288.1
304,2015-04-01,282.6
305,2015-05-01,278.5
306,2015-06-01,285.5
307,2015-07-01,285.2
308,2015-08-01,277.8
309,2015-09-01,264.2
310,2015-10-01,270.2
311,2015-11-01,266.7
312,2015-12-01,262.7
313,2016-01-01,271.8
314,2016-02-01,269.5
315,2016-03-01,278.6
316,2016-04-01,273.2
317,2016-05-01,262.7
318,2016-06-01,275.7
319,2016-07-01,279.3
320,2016-08-01,274.0
321,2016-09-01,254.4
322,2016-10-01,262.9
323,2016-11-01,266.2
324,2016-12-01,276.3
325,2017-01-01,277.3
326,2017-02-01,277.3
327,2017-03-01,272.6
328,2017-04-01,279.3
329,2017-05-01,270.4
330,2017-06-01,281.1
331,2017-07-01,275.3
332,2017-08-01,268.5
333,2017-09-01,262.6
334,2017-10-01,274.9
335,2017-11-01,278.2
336,2017-12-01,266.4
337,2018-01-01,265.6
338,2018-02-01,271.7
339,2018-03-01,283.4
340,2018-04-01,284.7
341,2018-05-01,277.0
342,2018-06-01,285.4
343,2018-07-01,284.1
344,2018-08-01,276.8
345,2018-09-01,275.9
346,2018-10-01,287.3
347,2018-11-01,294.1
348,2018-12-01,290.4
349,2019-01-01,293.8
350,2019-02-01,283.3
351,2019-03-01,289.0
352,2019-04-01,295.2
353,2019-05-01,291.4
354,2019-06-01,298.1
355,2019-07-01,301.3
356,2019-08-01,290.8
357,2019-09-01,279.7
358,2019-10-01,293.3
359,2019-11-01,287.7
360,2019-12-01,307.9
